talent_id,role_id,order
nm0001551,4,2
nm0001551,9,3
nm0001555,2,1
nm0001555,7,2
nm0001555,6,3
nm0001570,2,1
nm0001570,5,2
nm0001570,6,3
nm0001593,4,1
nm0001593,5,2
nm0001593,1,3
nm0001597,2,1
nm0001597,1,2
nm0001597,5,3
nm0001607,4,1
nm0001607,5,2
nm0001612,2,1
nm0001612,5,2
nm0001612,6,3
nm0001613,4,1
nm0001613,1,2
nm0001618,2,1
nm0001618,5,2
nm0001618,1,3
nm0001640,2,1
nm0001640,6,2
nm0001640,5,3
nm0001642,2,1
nm0001642,1,2
nm0001642,5,3
nm0001652,2,1
nm0001652,7,2
nm0001652,1,3
nm0001653,2,1
nm0001653,6,2
nm0001653,1,3
nm0001655,4,1
nm0001655,1,2
nm0001668,4,1
nm0001668,5,2
nm0001682,2,1
nm0001682,1,2
nm0001682,5,3
nm0001703,2,1
nm0001703,7,2
nm0001703,6,3
nm0001707,6,1
nm0001707,7,2
nm0001707,1,3
nm0001710,2,1
nm0001710,7,2
nm0001710,1,3
nm0001728,2,1
nm0001728,6,2
nm0001728,5,3
nm0001732,4,1
nm0001732,5,2
nm0001732,1,3
nm0001733,4,1
nm0001733,5,2
nm0001733,6,3
nm0001740,2,1
nm0001740,5,2
nm0001744,2,1
nm0001744,5,2
nm0001744,6,3
nm0001755,4,1
nm0001755,9,2
nm0001755,5,3
nm0001761,2,1
nm0001761,5,2
nm0001761,1,3
nm0001769,2,1
nm0001769,5,2
nm0001769,6,3
nm0001783,4,1
nm0001783,1,2
nm0001787,2,1
nm0001787,1,2
nm0001811,2,1
nm0001811,6,2
nm0001811,7,3
nm0001814,7,1
nm0001814,5,2
nm0001814,6,3
nm0001817,2,1
nm0001817,6,2
nm0001817,1,3
nm0001823,1,1
nm0001823,2,2
nm0001823,9,3
nm0001827,2,1
nm0001827,1,2
nm0001831,2,1
nm0001831,1,2
nm0001834,6,1
nm0001834,2,2
nm0001834,5,3
nm0001840,4,1
nm0001840,1,2
nm0001846,4,1
nm0001846,5,2
nm0001856,5,1
nm0001856,4,2
nm0001856,1,3
nm0001877,10,1
nm0001877,9,2
nm0001877,1,3
nm0001883,4,1
nm0001904,7,1
nm0001904,2,2
nm0001904,6,3
nm0001917,2,1
nm0001917,5,2
nm0001917,1,3
nm0001923,4,1
nm0001937,9,1
nm0001937,10,2
nm0001937,1,3
nm0001938,2,1
nm0001938,6,2
nm0001938,5,3
nm0001939,2,1
nm0001939,1,2
nm0001944,2,1
nm0001944,1,2
nm0001944,6,3
nm0001945,5,1
nm0001945,2,2
nm0001945,6,3
nm0001983,2,1
nm0001983,5,2
nm0001983,6,3
nm0001992,2,1
nm0001992,1,2
nm0001992,6,3
nm0002005,6,1
nm0002005,12,2
nm0002016,2,1
nm0002016,7,2
nm0002016,5,3
nm0002017,2,1
nm0002017,1,2
nm0002017,7,3
nm0002024,2,1
nm0002024,5,2
nm0002024,1,3
nm0002035,1,1
nm0002035,2,2
nm0002035,5,3
nm0002036,4,1
nm0002036,1,2
nm0002040,4,1
nm0002040,3,2
nm0002053,2,1
nm0002053,1,2
nm0002062,4,1
nm0002062,3,2
nm0002064,10,1
nm0002064,2,2
nm0002064,5,3
nm0002067,4,1
nm0002067,1,2
nm0002071,2,1
nm0002071,5,2
nm0002071,1,3
nm0002089,7,1
nm0002089,6,2
nm0002089,5,3
nm0002097,1,1
nm0002097,2,2
nm0002097,9,3
nm0002116,2,1
nm0002116,7,2
nm0002116,3,3
nm0002117,2,1
nm0002119,5,1
nm0002119,2,2
nm0002119,6,3
nm0002124,4,1
nm0002124,1,2
nm0002124,5,3
nm0002129,2,1
nm0002129,5,2
nm0002129,7,3
nm0002179,7,1
nm0002179,11,2
nm0002179,6,3
nm0002181,2,1
nm0002181,7,2
nm0002181,5,3
nm0002192,6,1
nm0002192,7,2
nm0002192,2,3
nm0002195,7,1
nm0002195,5,2
