talent_id,talent_name,birth_year,death_year
nm0004854,Billy Ray Cyrus,1961,\N
nm0004856,Carson Daly,1973,\N
nm0004857,Tim Daly,1956,\N
nm0004862,Kristin Davis,1965,\N
nm0004865,Taylor Dayne,1962,\N
nm0004871,Neil Diamond,1941,\N
nm0004872,Don Diamont,1962,\N
nm0004875,Taye Diggs,1971,\N
nm0004885,Fred Dryer,1946,\N
nm0004903,Kevin Eubanks,1957,\N
nm0004908,Edie Falco,1963,\N
nm0004909,Joey Fatone,1977,\N
nm0004914,Fergie,1975,\N
nm0004917,Kim Fields,1969,\N
nm0004920,Frances Fisher,1952,\N
nm0004921,Joely Fisher,1967,\N
nm0004929,Dave Foley,1963,\N
nm0004930,Scott Foley,1972,\N
nm0004934,Gerald Ford,1913,2006
nm0004937,Jamie Foxx,1967,\N
nm0004941,Soleil Moon Frye,1976,\N
nm0004947,Jennifer Gareis,1970,\N
nm0004951,Brad Garrett,1960,\N
nm0004959,Thomas Gibson,1962,\N
nm0004960,Sara Gilbert,1975,\N
nm0004967,Ricky Paull Goldin,1965,\N
nm0004971,Mark-Paul Gosselaar,1974,\N
nm0004975,Macy Gray,1967,\N
nm0004984,Deidre Hall,1947,\N
nm0004985,Edd Hall,1958,\N
nm0004988,Colin Hanks,1977,\N
nm0004991,Hill Harper,1966,\N
nm0005003,Sean Hayes,1970,\N
nm0005006,Elaine Hendrix,1970,\N
nm0005024,Terrence Howard,1969,\N
nm0005052,Michael Jeter,1952,2003
nm0005056,Elton John,1947,\N
nm0005059,Magic Johnson,1959,\N
nm0005062,Chuck Jones,1912,2002
nm0005072,Naomi Judd,1946,\N
nm0005082,David E. Kelley,1956,\N
nm0005085,Jamie Kennedy,1970,\N
nm0005092,Larry King,1933,\N
nm0005094,Alex Kingston,1963,\N
nm0005099,Heidi Klum,1973,\N
nm0005103,Dave Koz,1963,\N
nm0005106,Diana Krall,1964,\N
nm0005110,Ashton Kutcher,1978,\N
nm0005112,LL Cool J,1968,\N
nm0005126,Matt Lauer,1957,\N
nm0005129,Joey Lawrence,1976,\N
nm0005140,Eva Tamargo,1960,\N
nm0005143,Jay Leno,1950,\N
nm0005154,Lucy Liu,1968,\N
nm0005166,Susan Lucci,1946,\N
nm0005176,Wendie Malick,1950,\N
nm0005177,Howie Mandel,1955,\N
